text,label
"Hey John, are we still meeting for lunch today?",ham
Can you send me the report by tomorrow?,ham
Reminder: Your appointment is scheduled for 10:00 AM tomorrow.,ham
Let's catch up this weekend if you're free.,ham
Are you available for a quick call this afternoon?,ham
Don't forget to bring the documents.,ham
The project deadline is next Monday.,ham
Happy Birthday! Hope you have a great day!,ham
Your Amazon order has been shipped.,ham
Meeting rescheduled to 3 PM tomorrow.,ham
Please review the attached file and get back to me.,ham
"I'll be on leave next week, please manage the updates.",ham
Your package will be delivered today.,ham
Lunch at the usual place?,ham
Here is the contact you asked for.,ham
Can we move our meeting to next Thursday?,ham
The invoice has been approved.,ham
The report has been submitted successfully.,ham
We should organize a team outing soon.,ham
Thanks for your quick response!,ham
Your reservation is confirmed.,ham
I have added the notes to the shared folder.,ham
Congratulations on your promotion!,ham
Please confirm your attendance for the event.,ham
We missed your presence at the meeting today.,ham
I’ll be working from home tomorrow.,ham
Here is the update on the latest bug fix.,ham
Did you get a chance to look at the proposal?,ham
"I'm not feeling well today, taking the day off.",ham
Let's brainstorm ideas for the next quarter.,ham
I have a dentist appointment at 4 PM.,ham
We received the feedback and are working on it.,ham
Great job on the presentation!,ham
I'll send you the invoice shortly.,ham
Coffee at 4 PM?,ham
Are you free to talk?,ham
They have accepted the proposal.,ham
The issue is resolved now.,ham
Thanks for the clarification.,ham
"That works for me, see you then.",ham
Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.,spam
Important notification about your bank account. Login immediately to avoid suspension.,spam
You have been selected for a chance to get a new iPhone. Click here to win.,spam
Win a free trip to Bahamas! Reply YES to enter the draw.,spam
Final warning! Your PayPal account has been compromised. Update your password now.,spam
URGENT! Your account will be closed unless you confirm your details now.,spam
You have been selected to receive a $500 Amazon voucher.,spam
Click here to claim your free crypto tokens now!,spam
This is not a scam. Claim your money now!,spam
Get rich fast with this one easy trick.,spam
You won’t believe what this celebrity did to earn millions!,spam
Your computer is infected! Clean it with this tool.,spam
Limited offer! Buy 1 get 3 free!,spam
Act now to secure your exclusive deal!,spam
This offer expires in 10 minutes – don’t miss out!,spam
You have a pending payment. Act now to claim it.,spam
Earn $5000/month working from home. Sign up now!,spam
Low-interest loans approved instantly!,spam
Your social security benefits may be at risk. Respond immediately.,spam
Click here for an exclusive VIP access.,spam
Free Netflix subscription for 6 months! Sign up now!,spam
Important update on your tax return.,spam
Re: Congratulations on your winning ticket!,spam
Your Apple ID has been suspended.,spam
See who viewed your profile. Click here!,spam
